// ID-X-Y-Z-W

//Kamfreena
spawn - 2461	2846	3539	2	4	Kamfreena
spawn - 135	1641	10044	0	1	HellHound
spawn - 135	1640	10060	0	1	HellHound
spawn - 135	1640	10063	0	1	HellHound
spawn - 135	1643	10062	0	1	HellHound
spawn - 135	1647	10062	0	1	HellHound
spawn - 135	1650	10063	0	1	HellHound
spawn - 135	1646	10066	0	1	HellHound
spawn - 135	1645	10070	0	1	HellHound
spawn - 135	1642	10067	0	1	HellHound
spawn - 891	1687	10050	0	1	Moss Giant
spawn - 891	1690	10047	0	1	Moss Giant
spawn - 891	1687	10046	0	1	Moss Giant
spawn - 415	1697	10099	0	1	AbyssalDemon
spawn - 415	1694	10102	0	1	AbyssalDemon
spawn - 415	1689	10100	0	1	AbyssalDemon
spawn - 415	1689	10095	0	1	AbyssalDemon

spawn	-	7261	1669	10052	0	1	Hill Giant
spawn	-	7261	1675	10059	0	1	Hill Giant
spawn	-	7261	1677	10059	0	1	Hill Giant
spawn	-	7261	1678	10056	0	1	Hill Giant
spawn	-	7261	1652	10037	0	1	Hill Giant
spawn	-	7261	1650	10037	0	1	Hill Giant
spawn	-	7261	1655	10039	0	1	Hill Giant
spawn	-	7256	1652	10062	0	1	Hellhound
spawn	-	7261	1663	10063	0	1	Hill Giant
spawn	-	7261	1663	10065	0	1	Hill Giant
spawn	-	7263	1681	10063	0	1	Ghost
spawn	-	7262	1686	10051	0	1	Moss giant
spawn	-	7262	1686	10046	0	1	Moss giant
spawn	-	7263	1687	10055	0	1	Ghost
spawn	-	7263	1687	10060	0	1	Ghost
spawn	-	7262	1687	10037	0	1	Moss giant
spawn	-	7262	1688	10049	0	1	Moss giant
spawn	-	7262	1689	10046	0	1	Moss giant
spawn	-	7263	1691	10061	0	1	Ghost
spawn	-	7262	1691	10035	0	1	Moss giant
spawn	-	7262	1686	10033	0	1	Moss giant
spawn	-	7262	1693	10033	0	1	Moss giant
spawn	-	7262	1695	10033	0	1	Moss giant
spawn	-	7263	1691	10063	0	1	Ghost
spawn	-	7263	1696	10065	0	1	Ghost
spawn	-	7263	1700	10065	0	1	Ghost
spawn	-	7263	1695	10066	0	1	Ghost
spawn	-	7263	1696	10066	0	1	Ghost
spawn	-	7263	1694	10065	0	1	Ghost
spawn	-	7247	1703	10063	0	1	Lesser demon
spawn	-	7276	1683	10075	0	1	Mutated Bloodveld
spawn	-	7276	1689	10075	0	1	Mutated Bloodveld
spawn	-	7277	1710	10048	0	1	Warped Jelly
spawn	-	7277	1711	10050	0	1	Warped Jelly
spawn	-	7278	1692	10076	0	1	Greater Nechryael
spawn	-	7247	1713	10068	0	1	Lesser demon
spawn	-	7278	1692	10078	0	1	Greater Nechryael
spawn	-	7277	1714	10049	0	1	Warped Jelly
spawn	-	7248	1715	10068	0	1	Lesser demon
spawn	-	7248	1716	10061	0	1	Lesser demon
spawn	-	7247	1717	10063	0	1	Lesser demon
spawn	-	7277	1718	10061	0	1	Warped Jelly
spawn	-	7277	1718	10052	0	1	Warped Jelly
spawn	-	7277	1718	10048	0	1	Warped Jelly
spawn	-	7278	1705	10079	0	1	Greater Nechryael
spawn	-	7242	1719	10079	0	1	Black demon
spawn	-	7248	1720	10074	0	1	Lesser demon
spawn	-	7247	1720	10072	0	1	Lesser demon
spawn	-	7247	1721	10063	0	1	Lesser demon
spawn	-	7278	1706	10079	0	1	Greater Nechryael
spawn	-	7278	1701	10080	0	1	Greater Nechryael
spawn	-	7278	1702	10081	0	1	Greater Nechryael
spawn	-	7277	1716	10050	0	1	Warped Jelly
spawn	-	7277	1725	10048	0	1	Warped Jelly
spawn	-	7277	1721	10047	0	1	Warped Jelly
spawn	-	7249	1711	10034	0	1	Dust devil
spawn	-	7249	1713	10030	0	1	Dust devil
spawn	-	7249	1718	10029	0	1	Dust devil
spawn	-	7249	1717	10029	0	1	Dust devil
spawn	-	7249	1713	10029	0	1	Dust devil
spawn	-	7270	1694	10019	0	1	Cyclops
spawn	-	7271	1692	10019	0	1	Cyclops
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7270	1690	10015	0	1	Cyclops
spawn	-	7271	1687	10014	0	1	Cyclops
spawn	-	7271	1692	10012	0	1	Cyclops
spawn	-	7277	1689	10010	0	1	Warped Jelly
spawn	-	7277	1690	10005	0	1	Warped Jelly
spawn	-	7277	1687	10003	0	1	Warped Jelly
spawn	-	7277	1690	10002	0	1	Warped Jelly
spawn	-	7267	1706	10001	0	1	Sandy Boulder
spawn	-	7277	1684	10000	0	1	Warped Jelly
spawn	-	7277	1684	9999	0	1	Warped Jelly
spawn	-	7277	1688	9997	0	1	Warped Jelly
spawn	-	7267	1705	9997	0	1	Sandy Boulder
spawn	-	7259	1676	9997	0	1	Dagannoth
spawn	-	7277	1677	9996	0	1	Warped Jelly
spawn	-	7259	1676	9995	0	1	Dagannoth
spawn	-	7267	1701	9995	0	1	Sandy Boulder
spawn	-	7277	1685	9994	0	1	Warped Jelly
spawn	-	7260	1673	10001	0	1	Dagannoth
spawn	-	7260	1669	9997	0	1	Dagannoth
spawn	-	7259	1668	9993	0	1	Dagannoth
spawn	-	7260	1667	9998	0	1	Dagannoth
spawn	-	7260	1667	10002	0	1	Dagannoth
spawn	-	7260	1663	10001	0	1	Dagannoth
spawn	-	7259	1662	9996	0	1	Dagannoth
spawn	-	7259	1662	9995	0	1	Dagannoth
spawn	-	7260	1660	9994	0	1	Dagannoth
spawn	-	7260	1661	9998	0	1	Dagannoth
spawn	-	7259	1659	9994	0	1	Dagannoth
spawn	-	7259	1659	9992	0	1	Dagannoth
spawn	-	7279	1659	9987	0	1	Deviant spectre
spawn	-	7279	1658	9989	0	1	Deviant spectre
spawn	-	7279	1657	9990	0	1	Deviant spectre
spawn	-	7262	1655	10012	0	1	Moss giant
spawn	-	7270	1651	10011	0	1	Cyclops
spawn	-	7257	1650	9998	0	1	Ankou
spawn	-	7262	1659	10014	0	1	Moss giant
spawn	-	7257	1648	9995	0	1	Ankou
spawn	-	7257	1648	9999	0	1	Ankou
spawn	-	7279	1648	9992	0	1	Deviant spectre
spawn	-	7262	1658	10015	0	1	Moss giant
spawn	-	7257	1647	9995	0	1	Ankou
spawn	-	7271	1646	10010	0	1	Cyclops
spawn	-	7271	1647	10012	0	1	Cyclops
spawn	-	7257	1646	9995	0	1	Ankou
spawn	-	7257	1645	9992	0	1	Ankou
spawn	-	7269	1644	10012	0	1	Magic axe
spawn	-	7257	1639	9989	0	1	Ankou
spawn	-	7257	1638	9994	0	1	Ankou
spawn	-	7257	1638	9990	0	1	Ankou
spawn	-	7257	1637	9997	0	1	Ankou
spawn	-	7261	1634	10008	0	1	Hill Giant
spawn	-	7258	1627	10004	0	1	Shade
spawn	-	7279	1625	10004	0	1	Deviant spectre
spawn	-	7272	1626	9994	0	1	Twisted Banshee
spawn	-	7272	1625	9991	0	1	Twisted Banshee
spawn	-	7272	1622	9992	0	1	Twisted Banshee
spawn	-	7272	1612	9995	0	1	Twisted Banshee
spawn	-	7272	1609	9999	0	1	Twisted Banshee
spawn	-	7272	1608	9993	0	1	Twisted Banshee
spawn	-	7261	1635	10009	0	1	Hill Giant
spawn	-	7279	1608	10010	0	1	Deviant spectre
spawn	-	7258	1610	10011	0	1	Shade
spawn	-	7279	1608	10011	0	1	Deviant spectre
spawn	-	7279	1620	10011	0	1	Deviant spectre
spawn	-	7258	1610	10012	0	1	Shade
spawn	-	7279	1602	10012	0	1	Deviant spectre
spawn	-	7279	1619	10012	0	1	Deviant spectre
spawn	-	7279	1603	10012	0	1	Deviant spectre
spawn	-	7279	1607	10013	0	1	Deviant spectre
spawn	-	7258	1608	10015	0	1	Shade
spawn	-	7282	1619	10015	0	1	Pirate
spawn	-	7258	1617	10019	0	1	Shade
spawn	-	7258	1606	10024	0	1	Shade
spawn	-	7261	1638	10009	0	1	Hill Giant
spawn	-	7276	1676	10071	0	1	Mutated Bloodveld
spawn	-	7276	1678	10072	0	1	Mutated Bloodveld
spawn	-	7264	1663	10032	0	1	Ghost
spawn	-	7256	1649	10058	0	1	Hellhound
spawn	-	7261	1648	10035	0	1	Hill Giant
spawn	-	7265	1648	10057	0	1	Skeleton
spawn	-	7256	1648	10061	0	1	Hellhound
spawn	-	7265	1646	10048	0	1	Skeleton
spawn	-	7256	1646	10063	0	1	Hellhound
spawn	-	7265	1646	10048	0	1	Skeleton
spawn	-	7263	1663	10031	0	1	Ghost
spawn	-	7264	1664	10026	0	1	Ghost
spawn	-	7263	1666	10026	0	1	Ghost
spawn	-	7263	1664	10025	0	1	Ghost
spawn	-	7263	1654	10025	0	1	Ghost
spawn	-	7271	1652	10024	0	1	Cyclops
spawn	-	7263	1668	10023	0	1	Ghost
spawn	-	7271	1653	10022	0	1	Cyclops
spawn	-	7270	1649	10021	0	1	Cyclops
spawn	-	7269	1647	10018	0	1	Magic axe
spawn	-	7268	1640	10030	0	1	Possessed pickaxe
spawn	-	7268	1640	10031	0	1	Possessed pickaxe
spawn	-	7269	1641	10036	0	1	Magic axe
spawn	-	7268	1640	10033	0	1	Possessed pickaxe
spawn	-	7262	1640	10019	0	1	Moss giant
spawn	-	7268	1638	10037	0	1	Possessed pickaxe
spawn	-	7269	1636	10030	0	1	Magic axe
spawn	-	7270	1635	10031	0	1	Cyclops
spawn	-	7261	1632	10016	0	1	Hill Giant
spawn	-	7271	1635	10031	0	1	Cyclops
spawn	-	7270	1628	10031	0	1	Cyclops
spawn	-	7271	1630	10031	0	1	Cyclops
spawn	-	7271	1626	10033	0	1	Cyclops
spawn	-	7258	1608	10026	0	1	Shade
spawn	-	7270	1629	10032	0	1	Cyclops
spawn	-	7258	1603	10039	0	1	Shade
spawn	-	7258	1605	10042	0	1	Shade
spawn	-	7258	1604	10044	0	1	Shade
spawn	-	7258	1604	10045	0	1	Shade
spawn	-	7255	1609	10050	0	1	Steel dragon
spawn	-	7250	1620	10053	0	1	Dark beast
spawn	-	7255	1608	10055	0	1	Steel dragon
spawn	-	7250	1622	10056	0	1	Dark beast
spawn	-	7274	1617	10073	0	1	Brutal red dragon
spawn	-	7274	1612	10075	0	1	Brutal red dragon
spawn	-	7274	1616	10077	0	1	Brutal red dragon
spawn	-	7273	1628	10071	0	1	Brutal blue dragon
spawn	-	7275	1611	10090	0	1	Brutal black dragon
spawn	-	7275	1617	10091	0	1	Brutal black dragon
spawn	-	7275	1618	10096	0	1	Brutal black dragon
spawn	-	7275	1612	10097	0	1	Brutal black dragon
spawn	-	7273	1630	10078	0	1	Brutal blue dragon
spawn	-	2075	1631	10067	0	1	Fire giant
spawn	-	2827	1548	3777	0	1	Bat
spawn	-	3019	1551	3778	0	1	Spider
spawn	-	2854	1555	3792	0	1	Rat
spawn	-	1405	1547	3806	0	1	Dwarf
spawn	-	3019	1555	3806	0	1	Spider
spawn	-	1401	1552	3795	0	1	Dwarf
spawn	-	1402	1552	3782	0	1	Dwarf
spawn	-	2854	1552	3797	0	1	Rat
spawn	-	3019	1576	3801	0	1	Spider
spawn	-	2827	1549	3776	0	1	Bat
spawn	-	2075	1630	10061	0	1	Fire giant
spawn	-	2075	1633	10059	0	1	Fire giant
spawn	-	7256	1637	10061	0	1	Hellhound
spawn	-	2075	1637	10068	0	1	Fire giant
spawn	-	7256	1642	10063	0	1	Hellhound
spawn	-	7280	1643	10075	0	1	Kineer
spawn	-	7256	1644	10068	0	1	Hellhound
spawn	-	7256	1645	10070	0	1	Hellhound
spawn	-	2075	1629	10054	0	1	Fire giant
spawn	-	2075	1628	10052	0	1	Fire giant
spawn	-	2075	1631	10053	0	1	Fire giant
spawn	-	7265	1642	10051	0	1	Skeleton
spawn	-	7265	1635	10046	0	1	Skeleton
spawn	-	2075	1628	10046	0	1	Fire giant
spawn	-	7265	1639	10043	0	1	Skeleton
spawn	-	7268	1649	10040	0	1	Possessed pickaxe
spawn	-	7268	1633	10034	0	1	Possessed pickaxe
spawn	-	7261	1663	10069	0	1	4	18	26	Hill Giant
spawn	-	7276	1673	10070	0	1	Mutated Bloodveld
spawn	-	7261	1661	10070	0	1	4	18	26	Hill Giant
spawn	-	7261	1665	10074	0	1	4	18	26	Hill Giant
spawn	-	7276	1675	10075	0	1	Mutated Bloodveld
spawn	-	7276	1678	10077	0	1	Mutated Bloodveld
spawn	-	7254	1658	10084	0	1	Iron dragon
spawn	-	7254	1662	10084	0	1	Iron dragon
spawn	-	7241	1677	10085	0	1	Abyssal demon
spawn	-	7241	1676	10085	0	1	Abyssal demon
spawn	-	7244	1679	10085	0	1	Greater demon
spawn	-	7241	1674	10086	0	1	Abyssal demon
spawn	-	7245	1682	10082	0	1	Greater demon
spawn	-	7241	1669	10086	0	1	Abyssal demon
spawn	-	7241	1676	10088	0	1	Abyssal demon
spawn	-	7245	1682	10088	0	1	Greater demon
spawn	-	7246	1692	10088	0	1	Greater demon
spawn	-	7278	1696	10078	0	1	Greater Nechryael
spawn	-	7278	1696	10078	0	1	Greater Nechryael
spawn	-	10	1696	10079	0	1	0	Death spawn
spawn	-	10	1696	10079	0	1	0	Death spawn
spawn	-	10	1696	10078	0	1	0	Death spawn
spawn	-	7278	1697	10079	0	1	Greater Nechryael
spawn	-	10	1697	10080	0	1	0	Death spawn
spawn	-	10	1697	10080	0	1	0	Death spawn
spawn	-	7278	1691	10081	0	1	Greater Nechryael
spawn	-	7278	1692	10083	0	1	Greater Nechryael
spawn	-	7245	1691	10094	0	1	Greater demon
spawn	-	7241	1676	10094	0	1	Abyssal demon
spawn	-	7278	1706	10082	0	1	Greater Nechryael
spawn	-	7278	1709	10084	0	1	Greater Nechryael
spawn	-	7278	1710	10079	0	1	Greater Nechryael
spawn	-	7244	1686	10095	0	1	Greater demon
spawn	-	7244	1690	10095	0	1	Greater demon
spawn	-	7245	1705	10098	0	1	Greater demon
spawn	-	10	1696	10080	0	1	0	Death spawn
spawn	-	7281	1678	10099	0	1	Man
spawn	-	7246	1712	10099	0	1	Greater demon
spawn	-	7244	1716	10099	0	1	Greater demon
spawn	-	7242	1720	10090	0	1	Black demon
spawn	-	7243	1720	10087	0	1	Black demon
spawn	-	7243	1720	10082	0	1	Black demon
spawn	-	7241	1675	10098	0	1	Abyssal demon
spawn	-	7241	1674	10098	0	1	Abyssal demon
spawn	-	7241	1674	10093	0	1	Abyssal demon
spawn	-	7253	1651	10098	0	1	Bronze dragon
spawn	-	7253	1650	10091	0	1	Bronze dragon
spawn	-	7253	1647	10096	0	1	Bronze dragon


//Edgeville
spawn - 506	3079	3509	0	1	Edge General Store
spawn - 315	3098	3503	0	1	Emblem Trader
spawn - 6599	3094	3504	0	0	Mandrith
spawn - 954	3087	3509	0	1	Weird Old Man
spawn - 2200	3079	3517	0	1	Richard
spawn - 394	3096	3491	0	4	Banker
spawn - 394	3096	3489	0	4	Banker
spawn - 394	3096	3492	0	5	Banker
spawn - 394	3098	3492	0	5	Banker


//Barrows
spawn - 1683	3549	9710	0	1	Barrow Npc
spawn - 1684	3551	9710	0	1	Barrow Npc
spawn - 1683	3552	9713	0	1	Barrow Npc
spawn - 1684	3554	9713	0	1	Barrow Npc
spawn - 1683	3551	9707	0	1	Barrow Npc
spawn - 1679	3535	9694	0	1	Barrow Npc
spawn - 1679	3533	9692	0	1	Barrow Npc
spawn - 1680	3533	9692	0	1	Barrow Npc
spawn - 1680	3537	9692	0	1	Barrow Npc
spawn - 1680	3535	9697	0	1	Barrow Npc
spawn - 1679	3538	9696	0	1	Barrow Npc
spawn - 1680	3533	9696	0	1	Barrow Npc
spawn - 1678	3551	9679	0	1	Barrow Npc
spawn - 1678	3549	9677	0	1	Barrow Npc
spawn - 1678	3553	9676	0	1	Barrow Npc
spawn - 1678	3550	9679	0	1	Barrow Npc
spawn - 1681	3567	9694	0	1	Barrow Npc
spawn - 1682	3569	9694	0	1	Barrow Npc
spawn - 1682	3567	9692	0	1	Barrow Npc
spawn - 1682	3570	9691	0	1	Barrow Npc
spawn - 1682	3572	9695	0	1	Barrow Npc
spawn - 1682	3568	9698	0	1	Barrow Npc
spawn - 1681	3565	9695	0	1	Barrow Npc

//Wilderness bosses
spawn - 6609	3312	3840	0	1	Callisto
spawn - 2098	3043	10319	0	1	HillGiant
spawn - 2098	3046	10316	0	1	HillGiant
spawn - 291	3046	10308	0	1	Dwarf
spawn - 291	3045	10312	0	1	Dwarf

//Scorpia
spawn - 6615	3237	10343	0	1	Scorpia
spawn - 6616	3225	10335	0	1	Scorpia's offspring
spawn - 6616	3222	10335	0	1	Scorpia's offspring
spawn - 6616	3225	10342	0	1	Scorpia's offspring
spawn - 6616	3233	10342	0	1	Scorpia's offspring
spawn - 6616	3222	10343	0	1	Scorpia's offspring
spawn - 6616	3221	10346	0	1	Scorpia's offspring
spawn - 6616	3223	10347	0	1	Scorpia's offspring
spawn - 6616	3222	10349	0	1	Scorpia's offspring
spawn - 6616	3225	10350	0	1	Scorpia's offspring
spawn - 6616	3230	10343	0	1	Scorpia's offspring
spawn - 6616	3236	10348	0	1	Scorpia's offspring
spawn - 6616	3239	10348	0	1	Scorpia's offspring
spawn - 6616	3245	10350	0	1	Scorpia's offspring
spawn - 6616	3245	10347	0	1	Scorpia's offspring
spawn - 6616	3241	10348	0	1	Scorpia's offspring
spawn - 6616	3242	10343	0	1	Scorpia's offspring
spawn - 6616	3244	10340	0	1	Scorpia's offspring
spawn - 6616	3244	10334	0	1	Scorpia's offspring
spawn - 6616	3245	10336	0	1	Scorpia's offspring
spawn - 6616	3238	10335	0	1	Scorpia's offspring
spawn - 6616	3233	10334	0	1	Scorpia's offspring
spawn - 6616	3229	10336	0	1	Scorpia's offspring
spawn - 6616	3237	10339	0	1	Scorpia's offspring
spawn - 6616	3240	10342	0	1	Scorpia's offspring
spawn - 6616	3237	10345	0	1	Scorpia's offspring
spawn - 6616	3227	10341	0	1	Scorpia's offspring
spawn - 6616	3222	10340	0	1	Scorpia's offspring
//Venenatis
spawn - 6610	3342	3741	0	1	Venenatis
//Vetion
spawn - 6611	3183	3794	0	1	Vetion

spawn - 319	2992	4384	2	1	Corporeal Beast

spawn - 732	3008	3373	0	1	Farmer
spawn - 3078	3000	3379	0	1	Man
spawn - 2580	3203	3422	0	0	Mage of Zamorak


spawn - 394	3256	3418	0	0	Banker
spawn - 394	3255	3418	0	0	Banker
spawn - 394	3254	3418	0	0	Banker
spawn - 394	3253	3418	0	0	Banker
spawn - 394	3252	3418	0	0	Banker
spawn - 394	3251	3418	0	0	Banker

spawn - 394	3187	3436	0	0	Banker
spawn - 394	3187	3438	0	0	Banker
spawn - 394	3187	3440	0	0	Banker
spawn - 394	3187	3442	0	0	Banker
spawn - 394	3187	3444	0	0	Banker

spawn - 394	2945	3366	0	0	Banker
spawn - 394	2946	3366	0	0	Banker
spawn - 394	2947	3366	0	0	Banker
spawn - 394	2948	3366	0	0	Banker
spawn - 394	2949	3366	0	0	Banker

spawn - 394	3010	3353	0	0	Banker
spawn - 394	3011	3353	0	0	Banker
spawn - 394	3012	3353	0	0	Banker
spawn - 394	3013	3353	0	0	Banker
spawn - 394	3014	3353	0	0	Banker
spawn - 394	3015	3353	0	0	Banker
spawn - 394	2841	3543	0	2	Banker

spawn - 394	3096	3492	0	0	Banker
spawn - 394	3098	3492	0	0	Banker
spawn - 394	3096	3491	0	0	Banker
spawn - 394	3096	3489	0	0	Banker



/*Giant moles*/
spawn - 5779	1761	5188	0	1	Giant mole	

/*Relleka slayer dungeon*/
spawn - 406	2797	9996	0	1	cave crawler
spawn - 406	2793	9998	0	1	cave crawler
spawn - 406	2792	9993	0	1	cave crawler
spawn - 406	2790	9997	0	1	cave crawler
spawn - 406	2787	9994	0	1	cave crawler
spawn - 406	2784	9995	0	1	cave crawler
spawn - 406	2782	10000	0	1	cave crawler
spawn - 406	2785	9999	0	1	cave crawler
spawn - 3209	2802	10015	0	1	CaveHorror
spawn - 3209	2797	10015	0	1	CaveHorror
spawn - 3209	2799	10017	0	1	CaveHorror
spawn - 3209	2802	10020	0	1	CaveHorror
spawn - 3209	2806	10021	0	1	CaveHorror
spawn - 3209	2803	10023	0	1	CaveHorror
spawn - 419	2799	10030	0	1	Cockatrice	
spawn - 419	2795	10031	0	1	Cockatrice
spawn - 419	2786	10034	0	1	Cockatrice
spawn - 419	2784	10039	0	1	Cockatrice
spawn - 419	2793	10039	0	1	Cockatrice
spawn - 419	2791	10036	0	0	Cockatrice
spawn - 435	2758	10011	0	1	Pyrefiend
spawn - 435	2756	10008	0	0	Pyrefiend
spawn - 435	2756	10003	0	1	Pyrefiend
spawn - 435	2760	10001	0	1	Pyrefiend
