// ID-X-Y-Z-W

//Kamfreena
spawn - 2461	2846	3539	2	4	Kamfreena
spawn - 2212	2877	5293	2	1	Spiritual mage
spawn - 2212	2893	5291	2	1	Spiritual mage
spawn - 2212	2900	5287	2	1	Spiritual mage
spawn - 2212	2905	5302	2	1	Spiritual mage
spawn - 2212	2898	5307	2	1	Spiritual mage
spawn - 2212	2918	5292	1	1	Spiritual mage
spawn - 2212	2924	5286	1	1	Spiritual mage
spawn - 2212	2924	5292	1	1	Spiritual mage
spawn - 2233	2872	5317	2	1	Ogre
spawn - 2233	2877	5314	2	1	Ogre
spawn - 2233	2878	5330	2	1	Ogre
spawn - 2234	2873	5323	2	1	Jogre
spawn - 2234	2860	5321	2	1	Jogre
spawn - 2234	2867	5337	2	1	Jogre
spawn - 2234	2856	5328	2	1	Jogre
spawn - 2234	2856	5333	2	1	Jogre
spawn - 2234	2848	5337	2	1	Jogre
spawn - 2234	2847	5334	2	1	Jogre
spawn - 2234	2858	5349	2	1	Jogre
spawn - 2234	2829	5339	2	1	Jogre
spawn - 2234	2832	5317	2	1	Jogre
spawn - 2234	2839	5360	2	1	Jogre
spawn - 2234	2857	5365	2	1	Jogre
spawn - 2235	2849	5341	2	1	Cyclops
spawn - 2235	2846	5339	2	1	Cyclops
spawn - 2235	2842	5328	2	1	Cyclops
spawn - 2235	2840	5327	2	1	Cyclops
spawn - 2235	2846	5351	2	1	Cyclops
spawn - 2235	2844	5349	2	1	Cyclops
spawn - 2235	2836	5323	2	1	Cyclops
spawn - 2235	2836	5345	2	1	Cyclops
spawn - 2235	2834	5328	2	1	Cyclops
spawn - 2235	2832	5353	2	1	Cyclops
spawn - 2235	2846	5357	2	1	Cyclops
spawn - 2235	2848	5358	2	1	Cyclops
spawn - 2235	2860	5360	2	1	Cyclops
spawn - 2237	2870	5313	2	1	Ork
spawn - 2237	2865	5318	2	1	Ork
spawn - 2237	2873	5319	2	1	Ork
spawn - 2237	2872	5307	2	1	Ork
spawn - 2237	2873	5325	2	1	Ork
spawn - 2237	2873	5324	2	1	Ork
spawn - 2237	2862	5332	2	1	Ork
spawn - 2237	2869	5332	2	1	Ork
spawn - 2237	2865	5332	2	1	Ork
spawn - 2237	2867	5320	2	1	Ork
spawn - 2237	2869	5326	2	1	Ork
spawn - 2237	2865	5336	2	1	Ork
spawn - 2237	2840	5333	2	1	Ork
spawn - 2237	2839	5331	2	1	Ork
spawn - 2237	2838	5334	2	1	Ork
spawn - 2237	2836	5336	2	1	Ork
spawn - 2237	2841	5355	2	1	Ork
spawn - 2237	2837	5353	2	1	Ork
spawn - 2237	2837	5355	2	1	Ork
spawn - 2241	2875	5318	2	1	Hobgoblin
spawn - 2241	2875	5314	2	1	Hobgoblin
spawn - 2241	2878	5313	2	1	Hobgoblin
spawn - 2241	2879	5322	2	1	Hobgoblin
spawn - 2241	2860	5310	2	1	Hobgoblin
spawn - 2241	2857	5313	2	1	Hobgoblin
spawn - 2241	2878	5320	2	1	Hobgoblin
spawn - 2241	2869	5344	2	1	Hobgoblin
spawn - 2241	2862	5338	2	1	Hobgoblin
spawn - 2241	2867	5341	2	1	Hobgoblin
spawn - 2241	2852	5312	2	1	Hobgoblin
spawn - 2242	2847	5332	2	1	Spiritual warrior
spawn - 2242	2847	5341	2	1	Spiritual warrior
spawn - 2242	2852	5350	2	1	Spiritual warrior
spawn - 2242	2844	5341	2	1	Spiritual warrior
spawn - 2242	2843	5347	2	1	Spiritual warrior
spawn - 2242	2836	5325	2	1	Spiritual warrior
spawn - 2242	2826	5335	2	1	Spiritual warrior
spawn - 2242	2837	5351	2	1	Spiritual warrior
spawn - 2242	2845	5353	2	1	Spiritual warrior
spawn - 2242	2840	5361	2	1	Spiritual warrior
spawn - 2243	2854	5346	2	1	Spiritual ranger
spawn - 2243	2845	5332	2	1	Spiritual ranger
spawn - 2243	2845	5344	2	1	Spiritual ranger
spawn - 2243	2848	5349	2	1	Spiritual ranger
spawn - 2243	2837	5347	2	1	Spiritual ranger
spawn - 2243	2835	5324	2	1	Spiritual ranger
spawn - 2243	2835	5321	2	1	Spiritual ranger
spawn - 2243	2858	5349	2	1	Spiritual ranger
spawn - 2243	2830	5339	2	1	Spiritual ranger
spawn - 2243	2828	5332	2	1	Spiritual ranger
spawn - 2243	2855	5356	2	1	Spiritual ranger
spawn - 2243	2848	5357	2	1	Spiritual ranger
spawn - 2244	2848	5342	2	1	Spiritual mage
spawn - 2244	2846	5332	2	1	Spiritual mage
spawn - 2244	2843	5320	2	1	Spiritual mage
spawn - 2244	2838	5329	2	1	Spiritual mage
spawn - 2244	2855	5349	2	1	Spiritual mage
spawn - 2244	2837	5342	2	1	Spiritual mage
spawn - 2244	2792	5280	2	1	Spiritual mage
spawn - 2244	2827	5331	2	1	Spiritual mage
spawn - 2244	2830	5315	2	1	Spiritual mage
spawn - 2244	2845	5352	2	1	Spiritual mage
spawn - 2244	2839	5360	2	1	Spiritual mage
spawn - 2244	2851	5359	2	1	Spiritual mage
spawn - 2244	2860	5353	2	1	Spiritual mage
spawn - 2245	2871	5313	2	1	Goblin
spawn - 2245	2878	5307	2	1	Goblin
spawn - 2245	2882	5330	2	1	Goblin
spawn - 2245	2865	5316	2	1	Goblin
spawn - 2245	2856	5311	2	1	Goblin
spawn - 2245	2859	5318	2	1	Goblin
spawn - 2245	2878	5329	2	1	Goblin
spawn - 2245	2858	5329	2	1	Goblin
spawn - 2245	2858	5330	2	1	Goblin
spawn - 2245	2860	5331	2	1	Goblin
spawn - 2245	2854	5324	2	1	Goblin
spawn - 2245	2879	5325	2	1	Goblin
spawn - 2245	2879	5330	2	1	Goblin
spawn - 2245	2877	5327	2	1	Goblin
spawn - 2245	2861	5315	2	1	Goblin
spawn - 3133	2873	5329	2	1	Hellhound
spawn - 3133	2898	5306	2	1	Hellhound
spawn - 3133	2838	5336	2	1	Hellhound
spawn - 3133	2919	5345	2	1	Hellhound
spawn - 3133	2888	5350	2	1	Hellhound
spawn - 3134	2885	5315	2	1	Imp
spawn - 3134	2898	5313	2	1	Imp
spawn - 3134	2908	5354	2	1	Imp
spawn - 3134	2927	5343	2	1	Imp
spawn - 3134	2925	5352	2	1	Imp
spawn - 3134	2928	5355	2	1	Imp
spawn - 3135	2875	5313	2	1	Werewolf
spawn - 3135	2877	5321	2	1	Werewolf
spawn - 3135	2888	5327	2	1	Werewolf
spawn - 3135	2872	5318	2	1	Werewolf
spawn - 3135	2865	5327	2	1	Werewolf
spawn - 3135	2859	5319	2	1	Werewolf
spawn - 3135	2886	5293	2	1	Werewolf
spawn - 3135	2894	5286	2	1	Werewolf
spawn - 3135	2909	5297	2	1	Werewolf
spawn - 3135	2896	5312	2	1	Werewolf
spawn - 3135	2919	5293	1	1	Werewolf
spawn - 3135	2897	5323	2	1	Werewolf
spawn - 3135	2836	5349	2	1	Werewolf
spawn - 3135	2843	5352	2	1	Werewolf
spawn - 3135	2906	5347	2	1	Werewolf
spawn - 3135	2887	5359	2	1	Werewolf
spawn - 3135	2913	5355	2	1	Werewolf
spawn - 3135	2916	5345	2	1	Werewolf
spawn - 3135	2926	5341	2	1	Werewolf
spawn - 3135	2922	5356	2	1	Werewolf
spawn - 3135	2927	5354	2	1	Werewolf
spawn - 3135	2928	5350	2	1	Werewolf
spawn - 3135	2931	5357	2	1	Werewolf
spawn - 3135	2911	5338	2	1	Werewolf
spawn - 3135	2874	5298	2	1	Werewolf
spawn - 3135	2862	5290	2	1	Werewolf
spawn - 3135	2858	5267	2	1	Werewolf
spawn - 3135	2837	5289	2	1	Werewolf
spawn - 3137	2878	5327	2	1	Vampyre
spawn - 3137	2884	5311	2	1	Vampyre
spawn - 3137	2883	5320	2	1	Vampyre
spawn - 3137	2895	5309	2	1	Vampyre
spawn - 3137	2854	5328	2	1	Vampyre
spawn - 3137	2854	5345	2	1	Vampyre
spawn - 3137	2867	5291	2	1	Vampyre
spawn - 3137	2881	5291	2	1	Vampyre
spawn - 3137	2892	5328	2	1	Vampyre
spawn - 3137	2828	5331	2	1	Vampyre
spawn - 3137	2924	5292	1	1	Vampyre
spawn - 3138	2881	5320	2	1	Bloodveld
spawn - 3138	2886	5320	2	1	Bloodveld
spawn - 3138	2869	5301	2	1	Bloodveld
spawn - 3138	2862	5337	2	1	Bloodveld
spawn - 3138	2845	5286	2	1	Bloodveld
spawn - 3138	2894	5329	2	1	Bloodveld
spawn - 3138	2855	5352	2	1	Bloodveld
spawn - 3138	2891	5353	2	1	Bloodveld
spawn - 3138	2920	5362	2	1	Bloodveld
spawn - 3138	2926	5357	2	1	Bloodveld
spawn - 3138	2875	5296	2	1	Bloodveld
spawn - 3139	2871	5312	2	1	Pyrefiend
spawn - 3139	2867	5304	2	1	Pyrefiend
spawn - 3139	2871	5281	2	1	Pyrefiend
spawn - 3139	2864	5279	2	1	Pyrefiend
spawn - 3140	2886	5312	2	1	Icefiend
spawn - 3140	2894	5317	2	1	Icefiend
spawn - 3140	2859	5301	2	1	Icefiend
spawn - 3140	2875	5296	2	1	Icefiend
spawn - 3141	2888	5314	2	1	Gorak
spawn - 3141	2859	5328	2	1	Gorak
spawn - 3141	2861	5294	2	1	Gorak
spawn - 3141	2903	5353	2	1	Gorak
spawn - 3141	2911	5348	2	1	Gorak
spawn - 3141	2921	5351	2	1	Gorak
spawn - 3141	2933	5347	2	1	Gorak
spawn - 3141	2858	5266	2	1	Gorak
spawn - 3159	2879	5299	2	1	Spiritual warrior
spawn - 3159	2879	5299	2	1	Spiritual warrior
spawn - 3159	2891	5318	2	1	Spiritual warrior
spawn - 3159	2886	5313	2	1	Spiritual warrior
spawn - 3159	2895	5310	2	1	Spiritual warrior
spawn - 3159	2884	5280	2	1	Spiritual warrior
spawn - 3159	2885	5293	2	1	Spiritual warrior
spawn - 3159	2886	5291	2	1	Spiritual warrior
spawn - 3159	2887	5282	2	1	Spiritual warrior
spawn - 3159	2893	5286	2	1	Spiritual warrior
spawn - 3159	2905	5292	2	1	Spiritual warrior
spawn - 3159	2908	5297	2	1	Spiritual warrior
spawn - 3159	2897	5308	2	1	Spiritual warrior
spawn - 3159	2919	5299	1	1	Spiritual warrior
spawn - 3159	2921	5292	1	1	Spiritual warrior
spawn - 3159	2890	5359	2	1	Spiritual warrior
spawn - 3159	2902	5356	2	1	Spiritual warrior
spawn - 3159	2913	5358	2	1	Spiritual warrior
spawn - 3159	2924	5288	1	1	Spiritual warrior
spawn - 3160	2893	5362	2	1	Spiritual ranger
spawn - 3160	2888	5364	2	1	Spiritual ranger
spawn - 3160	2896	5352	2	1	Spiritual ranger
spawn - 3160	2917	5352	2	1	Spiritual ranger
spawn - 3160	2851	5273	2	1	Spiritual ranger
spawn - 3160	2846	5262	2	1	Spiritual ranger
spawn - 3161	2885	5354	2	1	Spiritual mage
spawn - 3161	2901	5362	2	1	Spiritual mage
spawn - 3161	2914	5344	2	1	Spiritual mage
spawn - 3161	2918	5343	2	1	Spiritual mage
spawn - 3161	2918	5361	2	1	Spiritual mage
spawn - 3161	2923	5345	2	1	Spiritual mage
spawn - 3161	2923	5340	2	1	Spiritual mage
spawn - 3161	2869	5266	2	1	Spiritual mage
spawn - 3161	2855	5273	2	1	Spiritual mage
spawn - 3161	2840	5263	2	1	Spiritual mage
spawn - 3161	2831	5285	2	1	Spiritual mage
spawn - 3166	2839	5293	2	1	Spiritual warrior
spawn - 3166	2841	5289	2	1	Spiritual warrior
spawn - 3166	2844	5283	2	1	Spiritual warrior
spawn - 3166	2862	5268	2	1	Spiritual warrior
spawn - 3166	2840	5277	2	1	Spiritual warrior
spawn - 3166	2836	5272	2	1	Spiritual warrior
spawn - 3166	2842	5282	2	1	Spiritual warrior
spawn - 3166	2852	5264	2	1	Spiritual warrior
spawn - 3167	2850	5292	2	1	Spiritual ranger
spawn - 3167	2846	5286	2	1	Spiritual ranger
spawn - 3167	2937	5351	2	1	Spiritual ranger
spawn - 3167	2853	5277	2	1	Spiritual ranger
spawn - 3167	2853	5284	2	1	Spiritual ranger
spawn - 3167	2848	5268	2	1	Spiritual ranger
spawn - 3167	2833	5290	2	1	Spiritual ranger
spawn - 3167	2851	5262	2	1	Spiritual ranger
spawn - 3168	2846	5288	2	1	Spiritual mage
spawn - 3168	2872	5294	2	1	Spiritual mage
spawn - 3168	2847	5278	2	1	Spiritual mage
spawn - 3168	2841	5269	2	1	Spiritual mage
spawn - 3168	2833	5292	2	1	Spiritual mage
spawn - 3168	2842	5264	2	1	Spiritual mage
spawn - 3174	2869	5314	2	1	Aviansie
spawn - 3174	2869	5304	2	1	Aviansie
spawn - 3174	2872	5300	2	1	Aviansie
spawn - 3174	2872	5315	2	1	Aviansie
spawn - 3174	2863	5308	2	1	Aviansie
spawn - 3174	2860	5300	2	1	Aviansie
spawn - 3174	2859	5303	2	1	Aviansie
spawn - 3174	2863	5293	2	1	Aviansie
spawn - 3174	2852	5311	2	1	Aviansie
spawn - 3174	2862	5286	2	1	Aviansie
spawn - 3174	2856	5284	2	1	Aviansie
spawn - 3174	2872	5288	2	1	Aviansie
spawn - 3174	2845	5281	2	1	Aviansie
spawn - 3174	2857	5300	2	1	Aviansie
spawn - 3174	2874	5287	2	1	Aviansie
spawn - 3174	2872	5267	2	1	Aviansie
spawn - 3174	2872	5260	2	1	Aviansie
spawn - 3174	2861	5261	2	1	Aviansie
spawn - 3174	2879	5286	2	1	Aviansie
spawn - 3174	2863	5272	2	1	Aviansie
spawn - 3174	2864	5268	2	1	Aviansie
spawn - 3174	2858	5269	2	1	Aviansie
spawn - 3174	2853	5272	2	1	Aviansie
spawn - 3174	2869	5263	2	1	Aviansie
spawn - 3174	2873	5263	2	1	Aviansie
spawn - 3174	2824	5216	2	1	Aviansie
spawn - 3174	2850	5269	2	1	Aviansie
spawn - 3174	2865	5263	2	1	Aviansie


//lumbridge slayer cave
spawn - 481	3160	9573	0	1	Cave bug
spawn - 481	3154	9575	0	1	Cave bug
spawn - 481	3149	9572	0	1	Cave bug
spawn - 481	3150	9554	0	1	Cave bug
spawn - 481	3154	9550	0	1	Cave bug
spawn - 481	3157	9556	0	1	Cave bug
spawn - 480	3158	9592	0	1	Cave slime
spawn - 480	3162	9586	0	1	Cave slime
spawn - 480	3166	9588	0	1	Cave slime
spawn - 480	3181	9584	0	1	Cave slime
spawn - 480	3188	9583	0	1	Cave slime
spawn - 406	3193	9577	0	1	Cave crawler
spawn - 406	3189	9577	0	1	Cave crawler
spawn - 406	3193	9572	0	1	Cave crawler
spawn - 406	3189	9571	0	1	Cave crawler
spawn - 406	3186	9571	0	1	Cave crawler
spawn - 406	3189	9565	0	1	Cave crawler
spawn - 421	3207	9589	0	1	Rock slug
spawn - 421	3211	9589	0	1	Rock slug
spawn - 421	3210	9586	0	1	Rock slug
spawn - 421	3206	9586	0	1	Rock slug
spawn - 421	3222	9588	0	1	Rock slug
spawn - 421	3226	9587	0	1	Rock slug
spawn - 421	3226	9584	0	1	Rock slug
spawn - 421	3221	9583	0	1	Rock slug
spawn - 421	3223	9580	0	1	Rock slug
spawn - 421	3228	9577	0	1	Rock slug
spawn - 421	3221	9575	0	1	Rock slug
spawn - 421	3218	9569	0	1	Rock slug
spawn - 421	3228	9570	0	1	Rock slug
spawn - 481	3245	9579	0	1	Cave bug
spawn - 481	3252	9580	0	1	Cave bug
spawn - 481	3256	9579	0	1	Cave bug
spawn - 481	3254	9570	0	1	Cave bug
spawn - 481	3252	9568	0	1	Cave bug
spawn - 481	3250	9560	0	1	Cave bug
spawn - 481	3244	9559	0	1	Cave bug
spawn - 481	3240	9564	0	1	Cave bug

spawn - 3423	2712	3335	0	1	Grizzly Bear
spawn - 3423	2714	3336	0	1	Grizzly Bear
spawn - 3423	2718	3338	0	1	Grizzly Bear
spawn - 3423	2699	3330	0	1	Grizzly Bear
spawn - 3423	2697	3333	0	1	Grizzly Bear
spawn - 3423	2703	3336	0	1	Grizzly Bear

//Man
spawn - 3078	3103	3488	0	1	Man Edgevile
spawn - 3078	3106	3492	0	1	Man Edgevile
spawn - 3078	3101	3492	0	1	Man Edgevile

//Shops
spawn - 3951	2758	3510	0	1	Legends guild
spawn - 1306	2762	3494	0	1	Make-over mage
spawn - 3894	2754	3507	0	1	Sigmund The Merchant
spawn - 1304	2764	3507	0	1	Noterazzo
spawn - 505	2753	3496	0	1	Bob
spawn - 5362	2762	3499	0	1	Obli

//Custom bosses
spawn - 3359	3038	3699	0	1	Zombies champion
spawn - 6361	2523	4646	0	1	Dagannoth mother


//sand crabs
spawn - 5935	1808	3442	0	1	Sandcrab Hosidius
spawn - 5935	1799	3443	0	1	Sandcrab Hosidius
spawn - 5935	1808	3446	0	1	Sandcrab Hosidius
spawn - 5935	1813	3441	0	1	Sandcrab Hosidius
spawn - 5935	1814	3447	0	1	Sandcrab Hosidius
spawn - 5935	1809	3450	0	1	Sandcrab Hosidius
spawn - 7206	1805	3450	0	1	Sandcrab Hosidius
spawn - 7206	1810	3452	0	1	Sandcrab Hosidius
spawn - 7206	1805	3455	0	1	Sandcrab Hosidius
spawn - 7206	1803	3446	0	1	Sandcrab Hosidius
spawn - 7206	1812	3457	0	1	Sandcrab Hosidius
spawn - 7206	1816	3452	0	1	Sandcrab Hosidius

//Catacombs
spawn - 70	1638	10045	0	1	Skeleton
spawn - 70	1642	10047	0	1	Skeleton
spawn - 70	1639	10049	0	1	Skeleton
spawn - 70	1642	10050	0	1	Skeleton
spawn - 70	1641	10044	0	1	Skeleton
spawn - 135	1641	10044	0	1	HellHound
spawn - 135	1640	10060	0	1	HellHound
spawn - 135	1640	10063	0	1	HellHound
spawn - 135	1643	10062	0	1	HellHound
spawn - 135	1647	10062	0	1	HellHound
spawn - 135	1650	10063	0	1	HellHound
spawn - 135	1646	10066	0	1	HellHound
spawn - 135	1645	10070	0	1	HellHound
spawn - 135	1642	10067	0	1	HellHound
spawn - 891	1687	10050	0	1	Moss Giant
spawn - 891	1690	10047	0	1	Moss Giant
spawn - 891	1687	10046	0	1	Moss Giant
spawn - 415	1697	10099	0	1	AbyssalDemon
spawn - 415	1694	10102	0	1	AbyssalDemon
spawn - 415	1689	10100	0	1	AbyssalDemon
spawn - 415	1689	10095	0	1	AbyssalDemon

spawn	-	7261	1669	10052	0	1	Hill Giant
spawn	-	7261	1675	10059	0	1	Hill Giant
spawn	-	7261	1677	10059	0	1	Hill Giant
spawn	-	7261	1678	10056	0	1	Hill Giant
spawn	-	7261	1652	10037	0	1	Hill Giant
spawn	-	7261	1650	10037	0	1	Hill Giant
spawn	-	7261	1655	10039	0	1	Hill Giant
spawn	-	7256	1652	10062	0	1	Hellhound
spawn	-	7261	1663	10063	0	1	Hill Giant
spawn	-	7261	1663	10065	0	1	Hill Giant
spawn	-	7263	1681	10063	0	1	Ghost
spawn	-	7262	1686	10051	0	1	Moss giant
spawn	-	7262	1686	10046	0	1	Moss giant
spawn	-	7263	1687	10055	0	1	Ghost
spawn	-	7263	1687	10060	0	1	Ghost
spawn	-	7262	1687	10037	0	1	Moss giant
spawn	-	7262	1688	10049	0	1	Moss giant
spawn	-	7262	1689	10046	0	1	Moss giant
spawn	-	7263	1691	10061	0	1	Ghost
spawn	-	7262	1691	10035	0	1	Moss giant
spawn	-	7262	1686	10033	0	1	Moss giant
spawn	-	7262	1693	10033	0	1	Moss giant
spawn	-	7262	1695	10033	0	1	Moss giant
spawn	-	7263	1691	10063	0	1	Ghost
spawn	-	7263	1696	10065	0	1	Ghost
spawn	-	7263	1700	10065	0	1	Ghost
spawn	-	7263	1695	10066	0	1	Ghost
spawn	-	7263	1696	10066	0	1	Ghost
spawn	-	7263	1694	10065	0	1	Ghost
spawn	-	7247	1703	10063	0	1	Lesser demon
spawn	-	7276	1683	10075	0	1	Mutated Bloodveld
spawn	-	7276	1689	10075	0	1	Mutated Bloodveld
spawn	-	7277	1710	10048	0	1	Warped Jelly
spawn	-	7277	1711	10050	0	1	Warped Jelly
spawn	-	7278	1692	10076	0	1	Greater Nechryael
spawn	-	7247	1713	10068	0	1	Lesser demon
spawn	-	7278	1692	10078	0	1	Greater Nechryael
spawn	-	7277	1714	10049	0	1	Warped Jelly
spawn	-	7248	1715	10068	0	1	Lesser demon
spawn	-	7248	1716	10061	0	1	Lesser demon
spawn	-	7247	1717	10063	0	1	Lesser demon
spawn	-	7277	1718	10061	0	1	Warped Jelly
spawn	-	7277	1718	10052	0	1	Warped Jelly
spawn	-	7277	1718	10048	0	1	Warped Jelly
spawn	-	7278	1705	10079	0	1	Greater Nechryael
spawn	-	7242	1719	10079	0	1	Black demon
spawn	-	7248	1720	10074	0	1	Lesser demon
spawn	-	7247	1720	10072	0	1	Lesser demon
spawn	-	7247	1721	10063	0	1	Lesser demon
spawn	-	7278	1706	10079	0	1	Greater Nechryael
spawn	-	7278	1701	10080	0	1	Greater Nechryael
spawn	-	7278	1702	10081	0	1	Greater Nechryael
spawn	-	7277	1716	10050	0	1	Warped Jelly
spawn	-	7277	1725	10048	0	1	Warped Jelly
spawn	-	7277	1721	10047	0	1	Warped Jelly
spawn	-	7249	1711	10034	0	1	Dust devil
spawn	-	7249	1713	10030	0	1	Dust devil
spawn	-	7249	1718	10029	0	1	Dust devil
spawn	-	7249	1717	10029	0	1	Dust devil
spawn	-	7249	1713	10029	0	1	Dust devil
spawn	-	7270	1694	10019	0	1	Cyclops
spawn	-	7271	1692	10019	0	1	Cyclops
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7249	1708	10018	0	1	Dust devil
spawn	-	7270	1690	10015	0	1	Cyclops
spawn	-	7271	1687	10014	0	1	Cyclops
spawn	-	7271	1692	10012	0	1	Cyclops
spawn	-	7277	1689	10010	0	1	Warped Jelly
spawn	-	7277	1690	10005	0	1	Warped Jelly
spawn	-	7277	1687	10003	0	1	Warped Jelly
spawn	-	7277	1690	10002	0	1	Warped Jelly
spawn	-	7267	1706	10001	0	1	Sandy Boulder
spawn	-	7277	1684	10000	0	1	Warped Jelly
spawn	-	7277	1684	9999	0	1	Warped Jelly
spawn	-	7277	1688	9997	0	1	Warped Jelly
spawn	-	7267	1705	9997	0	1	Sandy Boulder
spawn	-	7259	1676	9997	0	1	Dagannoth
spawn	-	7277	1677	9996	0	1	Warped Jelly
spawn	-	7259	1676	9995	0	1	Dagannoth
spawn	-	7267	1701	9995	0	1	Sandy Boulder
spawn	-	7277	1685	9994	0	1	Warped Jelly
spawn	-	7260	1673	10001	0	1	Dagannoth
spawn	-	7260	1669	9997	0	1	Dagannoth
spawn	-	7259	1668	9993	0	1	Dagannoth
spawn	-	7260	1667	9998	0	1	Dagannoth
spawn	-	7260	1667	10002	0	1	Dagannoth
spawn	-	7260	1663	10001	0	1	Dagannoth
spawn	-	7259	1662	9996	0	1	Dagannoth
spawn	-	7259	1662	9995	0	1	Dagannoth
spawn	-	7260	1660	9994	0	1	Dagannoth
spawn	-	7260	1661	9998	0	1	Dagannoth
spawn	-	7259	1659	9994	0	1	Dagannoth
spawn	-	7259	1659	9992	0	1	Dagannoth
spawn	-	7279	1659	9987	0	1	Deviant spectre
spawn	-	7279	1658	9989	0	1	Deviant spectre
spawn	-	7279	1657	9990	0	1	Deviant spectre
spawn	-	7262	1655	10012	0	1	Moss giant
spawn	-	7270	1651	10011	0	1	Cyclops
spawn	-	7257	1650	9998	0	1	Ankou
spawn	-	7262	1659	10014	0	1	Moss giant
spawn	-	7257	1648	9995	0	1	Ankou
spawn	-	7257	1648	9999	0	1	Ankou
spawn	-	7279	1648	9992	0	1	Deviant spectre
spawn	-	7262	1658	10015	0	1	Moss giant
spawn	-	7257	1647	9995	0	1	Ankou
spawn	-	7271	1646	10010	0	1	Cyclops
spawn	-	7271	1647	10012	0	1	Cyclops
spawn	-	7257	1646	9995	0	1	Ankou
spawn	-	7257	1645	9992	0	1	Ankou
spawn	-	7269	1644	10012	0	1	Magic axe
spawn	-	7257	1639	9989	0	1	Ankou
spawn	-	7257	1638	9994	0	1	Ankou
spawn	-	7257	1638	9990	0	1	Ankou
spawn	-	7257	1637	9997	0	1	Ankou
spawn	-	7261	1634	10008	0	1	Hill Giant
spawn	-	7258	1627	10004	0	1	Shade
spawn	-	7279	1625	10004	0	1	Deviant spectre
spawn	-	7272	1626	9994	0	1	Twisted Banshee
spawn	-	7272	1625	9991	0	1	Twisted Banshee
